Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
FRA,FRANCE,2.0,12.0,3.0,81.0,16.0,7.0,31.0,1406.0,67.0,39.0,19564.0,53.0,46.0,125.0,218.0,51.0,77.0,5.0,48.0,13.0,53.0,174.0,74.0,73.0,65.0,89.0,43.0,5.0,130.0,4.0,55.0,83.0,180.0,14.0,11.0,3.0,26.0,28.0,,346.0,254.0,168.0,,258.0,23.0,95.0,93.0,114.0,,,,,,,412.0,35.0,,,,,,34.0,,
FSM,"MICRONESIA, FEDERATED STATES OF",,,,,,0.0,,,,1.0,0.0,47.0,,19.0,,0.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,GABON,30.0,1.0,13.0,0.0,0.0,32.0,12.0,,,20.0,17.0,14.0,50.0,,,,,45.0,,20.0,30.0,,72.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,UNITED KINGDOM,,8.0,,0.0,24.0,8.0,27.0,,11.0,21.0,301.0,26.0,24.0,16.0,42.0,40.0,46.0,5.0,31.0,100.0,4.0,11.0,61.0,83.0,215.0,230.0,63.0,58.0,248.0,74.0,5.0,0.0,12.0,18.0,,12.0,6.0,0.0,76.0,29.0,58.0,149.0,95.0,,,53.0,50.0,140.0,90.0,,,18.0,,,,10.0,90.0,,140.0,,,4156.0,24.0,
GEO,GEORGIA,0.0,5.0,7.0,,0.0,,,0.0,0.0,1.0,,6.0,0.0,82.0,39.0,,7.0,22.0,1.0,24.0,41.0,222.0,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,GHANA,40.0,86.0,155.0,142.0,78.0,25.0,104.0,162.0,98.0,24.0,,128.0,187.0,13.0,136.0,67.0,26.0,411.0,145.0,,30.0,,109.0,60.0,7.0,15.0,,,4.0,170.0,,,,0.0,,15.0,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,
GIN,GUINEA,0.0,215.0,56.0,27.0,15.0,27.0,206.0,172.0,82.0,133.0,24.0,58.0,137.0,264.0,32.0,12.0,,,100.0,311.0,0.0,356.0,,,17.0,,18.0,,,,275.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLP,GUADELOUPE,,,,0.0,,,0.0,,,1.0,,,20.0,,4.0,0.0,,,0.0,,,,,0.0,5.0,0.0,,,,,,,,,0.0,,,0.0,,,,,,0.0,,63.0,,25.0,,14.0,,,,,,,,0.0,,,,,,
GMB,GAMBIA,2.0,0.0,,9.0,5.0,10.0,32.0,,,2.0,3.0,9.0,1.0,21.0,53.0,0.0,120.0,0.0,,,,100.0,,,,0.0,0.0,0.0,,,,,,0.0,,200.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
GNB,GUINEA-BISSAU,,29.0,,23.0,73.0,221.0,29.0,0.0,411.0,6.0,0.0,0.0,,,404.0,203.0,781.0,961.0,14.0,195.0,0.0,0.0,,,0.0,,69.0,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
GNQ,EQUATORIAL GUINEA,,,,0.0,,23.0,,0.0,80.0,15.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,GREECE,,33.0,43.0,1.0,12.0,2.0,132.0,4.0,121.0,54.0,37.0,41.0,11.0,137.0,157.0,17.0,84.0,20.0,52.0,24.0,1.0,,71.0,4.0,34.0,56.0,1048.0,20.0,23.0,0.0,12.0,,45.0,1.0,22.0,50.0,27.0,,,,,31.0,,,,19.0,9.0,2.0,38.0,,,,43.0,,,,,48.0,,31.0,455.0,,,
GRD,GRENADA,,,,0.0,,,,,1.0,39.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,
GTM,GUATEMALA,45.0,44.0,97.0,246.0,36.0,138.0,11.0,81.0,1583.0,36.0,22.0,134.0,122.0,89.0,105.0,452.0,36.0,98.0,31.0,10.0,,206.0,238.0,257.0,93.0,5.0,84.0,94.0,0.0,0.0,0.0,640.0,,,0.0,,,23000.0,,,5.0,,,,273.0,2.0,,,,,,,,225.0,,,,,,,,,,
GUF,FRENCH GUIANA,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUM,GUAM,,,,,,,,,,1.0,,1.0,,,,,228.0,,,,0.0,1.0,,,,,0.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,
GUY,GUYANA,,,,0.0,,0.0,,0.0,34.0,,,,,10.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,1.0,900.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
HKG,HONG KONG,,38.0,,1.0,0.0,35.0,,,0.0,,25.0,299.0,,0.0,5.0,,81.0,57.0,18.0,1.0,29.0,7.0,22.0,130.0,12.0,0.0,10.0,5.0,2.0,0.0,23.0,31.0,0.0,2.0,13.0,11.0,1.0,38.0,3.0,1.0,1.0,238.0,115.0,0.0,0.0,22.0,0.0,144.0,5.0,70.0,,183.0,7.0,60.0,43.0,,8.0,,,,,,,
