Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
LIE,LIECHTENSTEIN,84880.0,84672.0,83958.0,82375.0,74929.0,74512.0,71368.0,64371.0,,,,,74916.0,,,,,,,,,,48576.0,,,,,,,,,,37633.0
LKA,SRI LANKA,5170.0,4876.0,4541.0,4256.0,4099.0,3954.0,3730.0,3510.0,,,,,2942.0,,,,,,,,,,2008.0,,,,,,,,,,1571.0
LSO,LESOTHO,1879.0,1816.0,1784.0,1814.0,1787.0,1638.0,1637.0,1650.0,,,,,1432.0,,,,,,,,,,1482.0,,,,,,,,,,1340.0
LTU,LITHUANIA,16858.0,16310.0,15408.0,15485.0,17150.0,16467.0,15165.0,14050.0,,,,,9358.0,,,,,,,,,,12504.0,,,,,,,,,,
LUX,LUXEMBURG,48285.0,48998.0,48887.0,45823.0,55291.0,59616.0,53687.0,58670.0,,,,,53208.0,,,,,,,,,,40470.0,,,,,,,,,,23158.0
LVA,LATVIA,14724.0,13873.0,13223.0,13884.0,15491.0,15750.0,14279.0,12880.0,,,,,8508.0,,,,,,,,,,10096.0,,,,,,,,,,8270.0
MAR,MOROCCO,4384.0,4306.0,4127.0,4010.0,3905.0,3756.0,3691.0,3460.0,,,,,2841.0,,,,,,,,,,2589.0,,,,,,,,,,2283.0
MDA,"MOLDOVA, REPUBLIC OF",3319.0,3219.0,3036.0,2752.0,3040.0,2806.0,2771.0,2650.0,,,,,1680.0,,,,,,,,,,4583.0,,,,,,,,,,
MDG,MADAGASCAR,828.0,833.0,856.0,875.0,949.0,904.0,872.0,860.0,,,,,891.0,,,,,,,,,,997.0,,,,,,,,,,1278.0
MDV,MALDIVES,7478.0,7489.0,7061.0,6776.0,7190.0,6484.0,5944.0,5040.0,,,,,4158.0,,,,,,,,,,,,,,,,,,,,
MEX,MEXICO,12947.0,12601.0,12297.0,11750.0,12699.0,12663.0,12410.0,11970.0,,,,,11541.0,,,,,,,,,,9663.0,,,,,,,,,,9912.0
MKD,MACEDONIA,9377.0,9309.0,9065.0,8961.0,9041.0,8321.0,8207.0,7720.0,,,,,7247.0,,,,,,,,,,8417.0,,,,,,,,,,
MLI,MALI,853.0,921.0,928.0,893.0,893.0,913.0,852.0,850.0,,,,,744.0,,,,,,,,,,665.0,,,,,,,,,,737.0
MLT,MALTA,21184.0,21093.0,20831.0,20320.0,22050.0,21230.0,20569.0,20070.0,,,,,20761.0,,,,,,,,,,14703.0,,,,,,,,,,11253.0
MMR,MYANMAR (Burma) ,1817.0,1745.0,1688.0,1535.0,1409.0,1284.0,1158.0,1027.0,,,,,577.0,,,,,,,,,,342.0,,,,,,,,,,360.0
MNE,MONTENEGRO,10471.0,10485.0,10088.0,9945.0,10701.0,10002.0,9093.0,8320.0,,,,,7427.0,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,4245.0,3824.0,3298.0,3308.0,3454.0,3248.0,3022.0,2800.0,,,,,2198.0,,,,,,,,,,2395.0,,,,,,,,,,
MOZ,MOZAMBIQUE,906.0,860.0,811.0,766.0,709.0,678.0,630.0,630.0,,,,,473.0,,,,,,,,,,374.0,,,,,,,,,,440.0
MRT,MAURITANIA,2174.0,2114.0,2162.0,2187.0,2247.0,2203.0,2170.0,1980.0,,,,,1781.0,,,,,,,,,,1662.0,,,,,,,,,,1885.0
MUS,MAURITIUS,13300.0,12945.0,12434.0,11793.0,11652.0,11345.0,10559.0,10140.0,,,,,9097.0,,,,,,,,,,6051.0,,,,,,,,,,3644.0
MWI,MALAWI,774.0,763.0,775.0,756.0,728.0,687.0,668.0,640.0,,,,,654.0,,,,,,,,,,554.0,,,,,,,,,,628.0
MYS,MALAYSIA,13676.0,13322.0,12758.0,12258.0,12536.0,12277.0,11635.0,11020.0,,,,,9378.0,,,,,,,,,,6328.0,,,,,,,,,,4692.0
NAM,NAMIBIA,5973.0,5789.0,5649.0,5560.0,5600.0,5545.0,5435.0,5120.0,,,,,4531.0,,,,,,,,,,4057.0,,,,,,,,,,4126.0
NER,NIGER,701.0,631.0,649.0,620.0,654.0,621.0,620.0,610.0,,,,,586.0,,,,,,,,,,692.0,,,,,,,,,,922.0
NGA,NIGERIA,2102.0,2017.0,1928.0,1859.0,1833.0,1751.0,1744.0,1540.0,,,,,1285.0,,,,,,,,,,1274.0,,,,,,,,,,1571.0
NIC,NICARAGUA,2551.0,2491.0,2397.0,2324.0,2432.0,2401.0,2344.0,2260.0,,,,,2029.0,,,,,,,,,,1842.0,,,,,,,,,,2597.0
NLD,NETHERLANDS,37282.0,37621.0,36684.0,35651.0,37294.0,38198.0,37213.0,35270.0,,,,,34415.0,,,,,,,,,,26081.0,,,,,,,,,,22457.0
NOR,NORWAY,48688.0,47807.0,47466.0,47447.0,48360.0,49019.0,48439.0,47950.0,,,,,43382.0,,,,,,,,,,31437.0,,,,,,,,,,25394.0
NPL,NEPAL,1137.0,1105.0,1090.0,1057.0,1032.0,989.0,978.0,960.0,,,,,902.0,,,,,,,,,,706.0,,,,,,,,,,566.0
NZL,NEW ZEALAND,24358.0,24079.0,24018.0,23632.0,23261.0,23762.0,23456.0,23650.0,,,,,21017.0,,,,,,,,,,18685.0,,,,,,,,,,16947.0
OMN,OMAN,24092.0,23672.0,23219.0,22666.0,23525.0,22068.0,21264.0,20350.0,,,,,18272.0,,,,,,,,,,14275.0,,,,,,,,,,9404.0
PAK,PAKISTAN,2566.0,2526.0,2505.0,2424.0,2367.0,2363.0,2277.0,2190.0,,,,,1826.0,,,,,,,,,,1689.0,,,,,,,,,,1320.0
PAN,PANAMA,13519.0,12686.0,11538.0,11137.0,10878.0,10064.0,9058.0,8500.0,,,,,7699.0,,,,,,,,,,5774.0,,,,,,,,,,5844.0
PER,PERU,9306.0,8911.0,8397.0,7647.0,7627.0,7174.0,6607.0,6030.0,,,,,5399.0,,,,,,,,,,4348.0,,,,,,,,,,5802.0
PHL,PHILIPPINES,3752.0,3649.0,3568.0,3363.0,3380.0,3286.0,3119.0,3040.0,,,,,2694.0,,,,,,,,,,2506.0,,,,,,,,,,2786.0
PLW,PALAU,11463.0,10814.0,9866.0,9524.0,10519.0,13613.0,13407.0,13290.0,,,,,13132.0,,,,,,,,,,,,,,,,,,,,
PNG,PAPUA NEW GUINEA,2386.0,2272.0,2162.0,2087.0,2017.0,1930.0,1647.0,1720.0,,,,,1826.0,,,,,,,,,,1620.0,,,,,,,,,,1885.0
POL,POLAND,17776.0,17383.0,16722.0,16078.0,16063.0,15050.0,14240.0,13470.0,,,,,11713.0,,,,,,,,,,,,,,,,,,,,
PRT,PORTUGAL,19907.0,20557.0,20963.0,20503.0,21251.0,21365.0,20951.0,21050.0,,,,,20718.0,,,,,,,,,,16074.0,,,,,,,,,,11689.0
PRY,PARAGUAY,4497.0,4657.0,4550.0,4010.0,4292.0,4133.0,3952.0,3870.0,,,,,3810.0,,,,,,,,,,4098.0,,,,,,,,,,4084.0
PSE,STATE OF PALESTINE,3359.0,3236.0,3039.0,3000.0,2575.0,2630.0,2839.0,2710.0,,,,,3347.0,,,,,,,,,,2691.0,,,,,,,,,,2240.0
QAT,QATAR,87478.0,85596.0,77269.0,71243.0,72828.0,73341.0,74860.0,70704.0,,,,,65852.0,,,,,,,,,,43900.0,,,,,,,,,,79398.0
ROU,ROMANIA,11011.0,10889.0,10747.0,10996.0,11734.0,10735.0,9890.0,9280.0,,,,,6787.0,,,,,,,,,,7822.0,,,,,,,,,,
RUS,RUSSIA,14461.0,13897.0,13664.0,13167.0,14457.0,13687.0,12490.0,11560.0,,,,,8395.0,,,,,,,,,,12604.0,,,,,,,,,,
RWA,RWANDA,1147.0,1088.0,1036.0,993.0,986.0,913.0,882.0,830.0,,,,,654.0,,,,,,,,,,720.0,,,,,,,,,,817.0
SAU,SAUDI ARABIA,22616.0,21812.0,20858.0,20552.0,20964.0,20580.0,20896.0,20780.0,,,,,20369.0,,,,,,,,,,20617.0,,,,,,,,,,34014.0
SDN,SUDAN,1848.0,2136.0,1820.0,1823.0,1796.0,1723.0,1637.0,1530.0,,,,,1274.0,,,,,,,,,,942.0,,,,,,,,,,1047.0
SEN,SENEGAL,1653.0,1719.0,1721.0,1686.0,1722.0,1695.0,1657.0,1650.0,,,,,1499.0,,,,,,,,,,1426.0,,,,,,,,,,1487.0
SGP,SINGAPORE,52613.0,52439.0,51259.0,47502.0,49075.0,48344.0,46112.0,42330.0,,,,,37807.0,,,,,,,,,,24978.0,,,,,,,,,,14347.0
SLB,SOLOMON ISLANDS,2172.0,2070.0,1982.0,1832.0,2072.0,2175.0,2180.0,2080.0,,,,,2266.0,,,,,,,,,,1606.0,,,,,,,,,,
SLE,SIERRA LEONE,881.0,745.0,739.0,720.0,700.0,678.0,639.0,610.0,,,,,406.0,,,,,,,,,,623.0,,,,,,,,,,796.0
SLV,EL SALVADOR,5915.0,5868.0,5821.0,5769.0,6042.0,5959.0,5764.0,5540.0,,,,,5072.0,,,,,,,,,,3600.0,,,,,,,,,,4273.0
SRB,SERBIA,9533.0,9579.0,9369.0,9309.0,9492.0,9177.0,8730.0,8410.0,,,,,6504.0,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,1864.0,1819.0,1771.0,1717.0,1680.0,1607.0,1514.0,1390.0,,,,,,,,,,,,,,,,,,,,,,,,,
