Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
MUS,MAURITIUS,11.6,18.8,18.8,18.8,18.8,17.1,17.1,17.1,17.1,17.1,5.7,5.7,5.7,5.7,5.7,7.6,7.6,7.6,7.6,,,,,,,7.1
MWI,MALAWI,16.7,22.3,22.3,22.3,20.8,20.8,13.0,13.0,13.6,13.6,14.0,9.3,9.3,9.3,9.3,8.3,5.6,5.6,5.6,,,,,,,9.8
MYS,MALAYSIA,10.4,10.4,10.4,10.4,9.9,9.9,10.8,10.0,9.1,9.1,9.1,10.5,10.4,10.4,10.4,,7.8,7.8,7.8,,,,,,,5.1
NAM,NAMIBIA,41.3,25.6,24.4,24.4,24.4,26.9,26.9,26.9,26.9,26.9,25.0,26.4,26.4,25.0,25.0,22.2,22.2,22.2,18.1,,,,,,,6.9
NER,NIGER,13.3,13.3,13.3,13.3,,9.7,12.4,12.4,12.4,12.4,12.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,5.4
NGA,NIGERIA,6.7,6.7,6.7,6.8,7.0,7.0,7.0,7.0,6.1,6.4,4.7,6.7,3.4,3.4,3.4,,,,,,,,,,,
NIC,NICARAGUA,39.1,40.2,40.2,40.2,20.7,20.7,18.5,18.5,18.5,20.7,20.7,20.7,20.7,20.7,9.7,9.7,10.8,10.8,10.8,,,,,,,14.8
NLD,NETHERLANDS,37.3,38.7,38.7,40.7,40.7,42.0,41.3,39.3,36.7,36.7,36.7,36.7,36.7,36.0,36.0,36.0,36.0,31.3,31.3,,,,,,,21.3
NOR,NORWAY,39.6,39.6,39.6,39.6,39.6,39.6,36.1,36.1,37.9,37.9,38.2,36.4,36.4,35.8,36.4,36.4,36.4,36.4,39.4,,,,,,,35.8
NPL,NEPAL,29.5,29.9,33.2,33.2,33.2,33.2,33.2,17.3,17.3,,,,,5.9,5.9,5.9,3.4,3.4,3.4,,,,,,,6.1
NRU,NAURU,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.6,,,,,,,5.6
NZL,NEW ZEALAND,31.4,33.9,32.2,32.2,33.6,33.6,33.6,33.1,32.2,32.2,28.3,28.3,29.2,30.8,30.8,29.2,29.2,29.2,29.2,,,,,,,14.4
OMN,OMAN,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0,2.4,2.4,2.4,,,,,,,,,,,,,,,
