Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
LCA,SAINT LUCIA,,12.0,3.0,11.0,57.0,0.0,3.0,10.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,SRI LANKA,0.0,334.0,456.0,616.0,665.0,2390.0,918.0,1041.0,1785.0,2223.0,594.0,413.0,207.0,38.0,11.0,12.0,0.0,0.0,5.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
LSO,LESOTHO,0.0,40.0,60.0,41.0,52.0,47.0,33.0,54.0,44.0,74.0,87.0,180.0,312.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,MOROCCO,,8.0,16.0,12.0,14.0,26.0,22.0,2.0,1.0,3.0,151.0,7.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDG,MADAGASCAR,0.0,302.0,266.0,132.0,209.0,475.0,112.0,131.0,30.0,20.0,98.0,41.0,35.0,7.0,189.0,0.0,3.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
MDV,MALDIVES,,24.0,13.0,20.0,8.0,33.0,24.0,38.0,35.0,254.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,MEXICO,,532.0,461.0,355.0,413.0,398.0,297.0,382.0,42.0,147.0,11.0,110.0,85.0,36.0,50.0,123.0,4.0,34.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MHL,MARSHALL ISLANDS,,64.0,3.0,3.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI,MALI,0.0,2095.0,1826.0,75.0,132.0,135.0,140.0,168.0,273.0,162.0,35.0,11.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
MMR,MYANMAR (Burma) ,0.0,1028.0,1497.0,754.0,684.0,843.0,2613.0,301.0,263.0,227.0,125.0,9.0,9.0,2.0,0.0,1.0,1.0,14.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
MNG,MONGOLIA,0.0,15.0,12.0,13.0,73.0,28.0,13.0,4.0,0.0,1.0,6.0,26.0,21.0,74.0,92.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZ,MOZAMBIQUE,0.0,272.0,146.0,106.0,127.0,120.0,322.0,310.0,84.0,126.0,91.0,157.0,96.0,379.0,937.0,54.0,5.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0
MRT,MAURITANIA,0.0,152.0,182.0,73.0,76.0,134.0,81.0,82.0,91.0,122.0,72.0,37.0,38.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MUS,MAURITIUS,,6.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,MALAWI,0.0,178.0,164.0,80.0,109.0,120.0,112.0,88.0,161.0,242.0,114.0,165.0,401.0,93.0,11.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
